id,source,ra,dec,parallax,pmra,pmdec,astrometric_pseudo_colour,lum_val,radial_velocity,duplicated_source
0,Gaia DR2 2093549136625247232,282.273793746958,36.3879296716576,0.173721711483053,-1.26133758192782,-8.1634999097732,1.4970653811826,125.21331,-160.492831770017,FALSE
1,Gaia DR2 2093502098143444608,282.520556634929,36.2155756627789,1.26268483241331,-2.21217693011564,-15.5298569997416,1.54444481013788,11.207817,-23.0573700220224,FALSE
2,Gaia DR2 2093480344128826624,282.778680558038,35.9631798355803,0.355883812443379,-1.19003801324512,-5.72824483646815,1.50789383114027,67.41206,-4.16763172352972,FALSE
3,Gaia DR2 2093475465045982080,282.59410832333,35.8801462622733,0.613559064452051,-10.6692850127943,4.76573300747269,1.51928349054485,34.495388,-33.7530996684051,FALSE
4,Gaia DR2 2093428323483946624,281.605484168048,35.8534119633395,0.912406406029463,1.13070894570841,3.47444964357538,1.53857094507675,9.455259,-44.1138448984358,FALSE
5,Gaia DR2 2093488319888018944,282.530024568907,35.9372643394084,3.77123152659694,5.77495203396728,-55.5137753139183,1.61487125164931,1.3475752,25.1459456514036,FALSE
6,Gaia DR2 2093475155808337280,282.601409903632,35.8371001042157,0.955281561855077,-0.630520941801952,-1.4245981680881,1.61447350018264,5.66585,-46.593530189773,FALSE
7,Gaia DR2 2093505495457306752,283.041819901626,36.0912767469262,0.71438042237726,-0.625336118724538,-7.38447014566078,1.52261047547628,56.993843,38.8296807276376,FALSE
8,Gaia DR2 2093473678339586816,282.716269218948,35.8813663758509,1.00254373144557,3.1188680338246,5.23879230817117,1.54020114276037,20.874807,-58.7089345861491,FALSE
9,Gaia DR2 2093455918655814272,281.814134787046,36.0310148276924,0.973212076305921,0.691077422254709,-13.8361952905883,1.53804591970104,9.656115,-7.52947988517881,FALSE
10,Gaia DR2 2093543295469720576,282.450940575343,36.2212112178436,0.328492347534593,3.62758053739604,-5.57083706987211,1.5456624561455,58.646786,-65.8046634375766,FALSE
11,Gaia DR2 2093455781216921600,281.896537255218,36.0782713348601,0.958374973224975,-8.73629200962417,-9.88792581191968,1.54885189265898,8.125061,6.4425976482369,FALSE
12,Gaia DR2 2093476293979588992,282.566568217032,35.8980416951965,0.67024785470181,-2.60624718565097,-4.31771471174762,1.51214965030991,54.04717,-0.39128709917358,FALSE
13,Gaia DR2 2093478316904262144,282.607787846963,35.9801889835555,1.02628730158483,0.799282607298889,-8.18546980675453,1.54373813189651,9.401967,-75.7293721095883,FALSE
14,Gaia DR2 2093440628572527360,281.859265226353,35.874910653128,0.155503104803108,-6.15503098099989,-8.87805185332827,1.47711282593684,238.06516,-112.447327435036,FALSE
15,Gaia DR2 2093443824027973760,282.111663718767,35.8940379082048,0.614938879624515,-0.143528085248116,1.68795718724896,1.54156376607892,14.500178,-36.5952100211408,FALSE
16,Gaia DR2 2093501376588959616,282.572052326092,36.211663292256,0.454516066210407,-3.16474429919279,-10.4144120883913,1.53150069384501,21.375233,38.970265812951,FALSE
17,Gaia DR2 2093522885785628032,283.183817807093,36.5885867199902,1.22411555186894,-2.15018824320199,-6.25033930231185,1.64269322788456,3.1363645,-13.9975948548212,FALSE
18,Gaia DR2 2093460179263438208,281.806031714791,36.171919950443,1.15591487736666,1.03917610051362,3.63841657253426,1.54426379840019,5.4920444,-49.8001948230237,FALSE
19,Gaia DR2 2093480378488565120,282.762743482664,35.9590006871892,2.03573241466872,13.6170964934768,6.5145819034347,1.62193414952938,2.4540682,-32.7230826064155,FALSE
20,Gaia DR2 2093549377143440896,282.470975475462,36.2652409104473,1.76588533713604,-8.18756211338393,27.0900508592256,1.52068952002848,48.28377,-27.2361907082897,FALSE
21,Gaia DR2 2093497631377447808,282.616102999367,36.1096946388545,0.183850211531417,-0.980640214873511,-6.90070958088581,1.4715196333376,133.46771,-28.7659386777063,FALSE
22,Gaia DR2 2093509996583028096,282.897547866595,36.1713385213142,0.432167147553293,-2.52865022131023,-2.75879713720152,1.52965111093556,24.532463,4.16692352398063,FALSE
23,Gaia DR2 2093480000531442048,282.868277631411,35.9970378735523,4.70249820624361,-11.1772184623261,-0.675931863496732,1.62025099374427,1.5570669,-8.59582938059021,FALSE
24,Gaia DR2 2093543364189198336,282.44224062384,36.2304201611682,0.302759550423418,-4.44763046235199,-7.46768327581331,1.50281457755907,44.263645,41.9525412238697,FALSE
25,Gaia DR2 2093498142473290880,282.605585652823,36.1761611382531,0.520030330116469,-1.69834226348637,-5.12105283539673,1.45415259457062,65.853645,-22.2681388483736,FALSE
26,Gaia DR2 2093464233712721792,282.105115659899,36.2244639187953,0.460451397825821,-5.13346074782921,-5.4419115731716,1.48998742137621,32.496468,-18.8814803214336,FALSE
27,Gaia DR2 2093471891633193216,282.659817514294,35.8177981593416,0.566481137821718,0.122643741051741,-3.47713567479273,1.50145764271926,35.542595,-24.112228728201,FALSE
28,Gaia DR2 2093472136451242880,282.623513271669,35.8315159102855,1.37143005809174,8.46266182122496,-7.13175454627166,1.63150056146214,2.594246,-19.7555609742843,FALSE
29,Gaia DR2 2093471002579876480,282.688538245178,35.7708377227071,3.67655196386487,1.14765458754482,-1.06598486729615,1.61677298179404,5.657394,9.22775445719805,FALSE
30,Gaia DR2 2093472136451241728,282.629094869164,35.8204366202975,2.03921656337659,11.5617362377586,9.75406693526367,1.57254269210526,0.61160415,-28.7202628644364,FALSE
31,Gaia DR2 2093484398577949056,282.780594228564,36.0890736269988,1.62458097799769,-0.273921689536816,-0.198215458718079,1.64728137290049,3.9205205,-4.29512851699809,FALSE
32,Gaia DR2 2093459492068608512,281.744855979914,36.1034240280426,1.21729196955805,-3.56260896529446,-7.27137511657713,1.61576148969651,6.4305224,-13.620376330278,FALSE
33,Gaia DR2 2093464611669853056,282.089709279842,36.2778378221864,0.50901862816358,-1.46148914267289,-5.57141469139148,1.5143187064246,18.993908,-7.65268734828239,FALSE
34,Gaia DR2 2093521133438931968,283.191614539711,36.4839175250078,1.09121612913208,-1.84611361068145,2.58127938527616,1.63186207540915,5.0881286,-0.775607421373127,FALSE
35,Gaia DR2 2093489105862111104,282.411127183469,35.9507129723782,5.84143077321076,-19.2634834527334,16.6237804200657,1.5301426778722,0.25704953,-42.0195610035469,FALSE
36,Gaia DR2 2093443789668243456,282.140100847321,35.8866245381796,1.39411417966311,-3.50721719628553,-16.9481150324612,1.62748181161498,2.3931096,32.9414091305174,FALSE
37,Gaia DR2 2093522301670039040,283.130954476324,36.5479905150069,0.223879573527175,-1.08056304167099,-7.81955582276979,1.41860003572578,154.70712,-14.1421576554661,FALSE
38,Gaia DR2 2093475091388738688,282.608745279043,35.8301383730579,7.48907820401532,18.1932884670388,47.922130503483,1.57809273012641,0.7599655,-22.2284556465805,FALSE
39,Gaia DR2 2093501788901381888,282.604221077505,36.2361247173883,1.78607322663373,-1.99466306757097,-7.82517578042762,1.64845369717554,12.808681,-23.0485351223406,FALSE
40,Gaia DR2 2093483230346841856,282.930440438844,36.1316794788024,2.43357172657016,-4.15030843640527,-13.8677493113546,1.62534118930675,1.4169948,-27.5173448549871,FALSE
41,Gaia DR2 2093494947017626240,282.518337911687,36.1221392600847,0.371942400135367,-1.13056072572656,-15.1759261429661,1.49875504100263,79.21825,-24.2138039036449,FALSE
42,Gaia DR2 2093496463146334080,282.46837740817,36.2241612786417,0.23763285335846,1.64768552596288,-2.941152595318,1.4926498053215,113.80633,-7.44179461512733,FALSE
43,Gaia DR2 2093497768816423424,282.633288058297,36.1408566056867,0.402343793031819,0.272391876242847,2.52801902438283,1.44366481157756,111.36406,-7.49839106506717,FALSE
44,Gaia DR2 2093496085189197952,282.480512031626,36.1842210813906,0.279699421160654,-4.43083450566815,-0.755874605038018,1.5343767680608,63.849407,-58.5494094097676,FALSE
45,Gaia DR2 2093464332491947008,282.10317677809,36.2558204027072,1.43089997439077,1.25721872749272,-12.8867185779186,1.67066194745094,3.163378,-38.4601673212342,FALSE
46,Gaia DR2 2093535220931667200,283.063540235321,36.614147499435,0.458721436827309,-3.69351092570855,-12.0075100930233,1.52764308218608,10.899732,24.3844304219086,FALSE
47,Gaia DR2 2093464950967238144,281.982171763018,36.2391911418161,0.360258125248507,-2.29746514956156,-3.01785972027491,1.51203064392773,54.87852,-63.0435725739292,FALSE
48,Gaia DR2 2093459973104990976,281.796293049657,36.1378027560378,2.03851471351737,8.41772505929724,-6.83771831845062,1.63296081177672,1.6830624,-28.4122456937302,FALSE
49,Gaia DR2 2093449287226391296,282.006311547905,36.023634619156,1.57178979668703,6.13547841601194,-2.58293743874607,1.61582939615813,2.631038,-18.4588767490581,FALSE
50,Gaia DR2 2093467390508661888,281.857178610496,36.2473860339161,0.980655677831173,4.95456118326868,-23.6944017870906,1.51939751498304,52.77098,-24.565176502993,FALSE
51,Gaia DR2 2093438841865892096,282.052541393948,35.9024545434852,0.717108532222224,0.95856012811971,2.3633415487465,1.5149516887833,9.361087,-18.5041848712971,FALSE
52,Gaia DR2 2093453066797769856,281.77650467417,35.9502089612293,1.30082083386957,2.22430356345938,5.61417844412954,1.65560459884655,3.4923458,-18.0457463518895,FALSE
53,Gaia DR2 2093536423522414208,282.900152468282,36.5635612934579,0.309756932386689,-2.65587957226536,-11.3331871186204,1.46795227602707,101.95898,-9.51390610969908,FALSE
54,Gaia DR2 2093476019101663872,282.504979831972,35.8748122944676,3.58845221389932,-6.53991066792782,1.05468671003545,1.5685899643003,0.5916418,-25.9332280059905,FALSE
55,Gaia DR2 2093429530376984320,281.635416803795,35.8449316949799,0.577126232818627,-3.2913413921055,-7.41009543168819,1.5193595167609,54.01816,-10.1468144578891,FALSE
56,Gaia DR2 2093536492241894144,282.892558428733,36.5763409857004,2.25792859904974,-2.06067547958082,1.6702354505289,1.52262109171502,8.546581,-38.6536636181888,FALSE
57,Gaia DR2 2093437192598396288,282.052260810104,35.8005196044818,0.202508400345084,-2.31120631753719,-6.46860108692047,1.42074973723552,238.35533,13.7997082631804,FALSE
58,Gaia DR2 2093450214939382656,282.04626749584,36.1084977441619,1.1953152428498,6.79002808894565,-0.470876990584643,1.54992464695153,3.6673515,-28.8436195190303,FALSE
59,Gaia DR2 2093512955821072000,283.038700789848,36.3603528418279,9.26313708881488,14.3956808163563,-4.31866852566112,1.58311289492324,0.50925595,-10.8530002406384,FALSE
60,Gaia DR2 2093466776333293056,281.904109395529,36.2653088807008,1.65310885992271,0.682922944459876,-7.53759657270923,1.65937084494836,3.826395,9.68756120767147,FALSE
61,Gaia DR2 2093551778024869888,282.550520559534,36.3659532558259,0.157193631374989,-1.1740030132128,-6.52021348168859,1.53288205721032,304.36612,-249.82918829347,FALSE
62,Gaia DR2 2093520063986349824,283.066067356167,36.4392898349384,7.63021326959685,8.61231296019428,27.6733632174866,1.62322836082558,1.0661901,-37.0184669410783,FALSE
63,Gaia DR2 2093507080305278464,283.008716404008,36.1883411888556,0.320292729157481,1.38769077393414,-6.25786396621323,1.53171991979562,58.688385,2.74470772687157,FALSE
64,Gaia DR2 2093474163675849344,282.774199981309,35.9180360907686,0.425786775015217,1.83211703050166,-3.82527144822623,1.50331025995886,79.607735,7.37843729668424,FALSE
65,Gaia DR2 2093428808822102016,281.702022747956,35.8429591232508,3.89487685795187,16.2418318331574,10.8498728569225,1.53384394575181,0.28493205,-27.9571865250284,FALSE
66,Gaia DR2 2093544802997986176,282.401945361449,36.2987618774882,0.759857132330353,3.04315081281922,2.69179161575615,1.51383188347492,14.104341,-27.4815416900881,FALSE
67,Gaia DR2 2093540409252209408,283.019681810929,36.7781298821702,1.44719405381186,-3.66426078903348,-9.03163152537481,1.60218055714363,4.165125,14.6139320763998,FALSE
68,Gaia DR2 2093461892950525184,281.999837681202,36.1031707271044,0.275161881134955,-2.42683512061624,-8.12808685074803,1.47118861710351,174.32338,9.67424852224737,FALSE
69,Gaia DR2 2093485502389869184,282.745438739268,36.1253615563464,0.614581838113795,6.78661665820638,7.32474529301813,1.50006671586127,8.602697,-20.0335001443574,FALSE
70,Gaia DR2 2093426060042929152,281.430585145398,35.8481256105907,0.923709503432337,2.06824094122171,-21.2372072068739,1.61663452470176,7.832601,9.75774627208986,FALSE
71,Gaia DR2 2093546383545955328,282.150567037823,36.2399120986342,0.293382833976529,-1.05706718427609,-6.43353590992407,1.53435575621288,71.5733,33.5866239866264,FALSE
72,Gaia DR2 2093553878269199488,282.423523155859,36.370778028845,1.58575006966972,-3.3764366677131,6.60231676860999,1.5435957286,13.16978,-7.78246217744043,FALSE
73,Gaia DR2 2093510928596361984,282.875419293905,36.2171565970049,4.06448427775457,0.221822609379566,-2.92792503282038,2.17245278719142,5.173645,-17.1362376690196,FALSE
74,Gaia DR2 2093473270322641408,282.758048962028,35.8832160127782,0.267775072058906,1.67880848821364,-3.49554273431986,1.50820831359726,35.435345,-44.8634184884337,FALSE
75,Gaia DR2 2093531853674058752,283.0301535704,36.4632451311507,2.22033308083723,-8.7868895908595,-6.7707723583154,1.62132370386512,1.6406647,-12.6992627116979,FALSE
76,Gaia DR2 2093433069429649536,281.590062875719,35.9197912260735,0.871054982477677,-1.47115811138259,4.00301597025478,1.61463637183903,7.2001534,-29.7711219925868,FALSE
77,Gaia DR2 2093482135135201664,282.972879095354,36.0685456905003,1.1779740642031,2.23399976666251,8.75244148234795,1.49845536789022,106.92922,-43.3810721669841,FALSE
78,Gaia DR2 2093446847685086720,282.228166564977,36.0645927358612,0.420172752476469,-0.66504191370955,-3.19146023474726,1.5005803885318,46.205803,16.684804140727,FALSE
79,Gaia DR2 2093428499584450176,281.712837607536,35.817621064053,3.91300562877158,-8.62311492419026,-10.1350558447736,1.5297106362075,0.20497765,-6.16405804999035,FALSE
80,Gaia DR2 2093532334713577984,283.040405236356,36.4928047121674,2.59210906471975,7.23616516812492,2.34819248168945,1.60128948562815,0.81864536,21.1565551283233,FALSE
