id,source,ra,dec,parallax,pmra,pmdec,astrometric_pseudo_colour,lum_val,radial_velocity,duplicated_source
0,Gaia DR2 4039854003919579904,266.979047596844,-37.5971708065293,0.549060041833576,-5.19011295216166,-7.69660844159105,1.42174690870295,24.380125,14.7367013191782,FALSE
1,Gaia DR2 4039853832120910592,267.04326978494,-37.5931621728263,1.27182849986564,0.445472676810467,-10.28521452746,1.58438998856082,4.568036,-78.8398305184086,FALSE
2,Gaia DR2 4039853458537956864,266.940045037376,-37.6397156972277,0.420793824983315,-0.145309385117574,-1.00011104183302,1.41057953990778,38.40357,-50.7126765006011,FALSE
3,Gaia DR2 4039848991770457856,267.207930068517,-37.5469763444901,0.288309239441206,1.32662903743608,-7.50574444979314,1.43531407572501,56.307125,-94.5245928087625,FALSE
4,Gaia DR2 4039850537957930880,267.439886660908,-37.4408476035781,1.37597941791558,-3.02974712383204,-18.3326180974017,1.57083847902916,1.7483532,38.2299192088528,FALSE
5,Gaia DR2 4039847750447197568,267.294940586628,-37.6057103117806,0.302862672622306,-4.60592909254438,3.96872706857861,1.37669562063932,149.55191,14.9949875365538,FALSE
6,Gaia DR2 4039848510734012672,267.287482361863,-37.5527177848394,0.564539553874194,1.38334424517098,0.110787203284601,1.44985465982415,16.219381,-34.0558165147537,FALSE
7,Gaia DR2 4039849404087867136,267.301329054575,-37.5065010877832,0.277122438026896,-0.236755407124532,0.215073602354578,1.36975251924873,120.604126,-41.7820802541282,FALSE
8,Gaia DR2 4039846208630745088,267.51973271203,-37.5295041747776,0.332687504281854,-0.172162630896348,-0.357982794062326,1.36310020269707,30.293278,-36.546118486962,FALSE
9,Gaia DR2 4039845104746245248,267.377437848443,-37.5800351242653,0.818682414453026,-3.50025055510173,-5.37218930517326,1.38565706822705,23.905367,-14.0973657525943,FALSE
10,Gaia DR2 4039843940889022592,267.434828416275,-37.634081213988,0.610177372738888,0.9042841865518,-2.98478602689529,1.43990848564515,18.585592,-32.078066849852,FALSE
11,Gaia DR2 4039841084657611648,267.175474200942,-37.7013047389674,1.94813548362027,4.51182516950819,-10.2887260413947,1.55445219911935,1.18095,-40.0934948610587,FALSE
12,Gaia DR2 4039841290816054400,267.164470636292,-37.6978900025867,0.57443746814115,-2.8582356759703,2.75775308567303,1.41216227125756,40.807037,-56.3754864857563,FALSE
13,Gaia DR2 4039841462614840448,267.194764117525,-37.6687084938256,1.53166514003297,0.584424279161529,-8.58287458290881,1.55549276298746,1.8961896,14.8178989608683,FALSE
14,Gaia DR2 4039842807015858176,267.215506564958,-37.5990342076603,0.409520569475167,0.766877976978736,1.69185085472841,1.43584625492008,34.68607,-22.5060192849545,FALSE
15,Gaia DR2 4039839435392844416,267.13636933609,-37.7580699332117,1.29215387244954,-2.66510892710656,-11.0513046022211,1.65807580176922,7.204045,-49.8571294404327,FALSE
16,Gaia DR2 4039838958724118784,267.120379836114,-37.7824495023975,0.719722544763565,5.3758469067556,0.612615131054519,1.42312131938981,27.472322,-20.7596275752932,FALSE
17,Gaia DR2 4039835415304541312,267.239100109245,-37.8085617822411,0.395042993968087,-3.24879495314516,0.0392974048650499,1.39939771262643,45.034218,27.3306188814029,FALSE
