id,source,ra,dec,parallax,pmra,pmdec,astrometric_pseudo_colour,lum_val,radial_velocity,duplicated_source
0,Gaia DR2 1949534656939148288,329.444495888412,36.2647828030114,3.3457859858198,10.5848994819009,-13.4659333175703,1.61487205453227,4.385019,-16.4104015850587,FALSE
1,Gaia DR2 1949592205203098752,328.523722389281,36.5667897878629,0.290517624723547,-5.3346531407267,-6.48709144761893,1.41105322677854,170.8932,-52.0853846111028,FALSE
2,Gaia DR2 1949534691302106112,329.463326745702,36.2701756885957,2.70553563977296,8.24032473962779,-0.380461464931599,1.65456659398036,2.6617415,-4.85279282111882,FALSE
3,Gaia DR2 1949545858217166976,329.522973048365,36.4639928820961,0.557518656792827,1.59941629372899,-4.9638633406975,1.49717269626281,48.403378,-43.7144611163317,FALSE
4,Gaia DR2 1949538505233045632,329.453381244854,36.3493473898191,4.46901995577598,-0.417252493806766,-18.5049355173226,1.48336639418703,0.25664464,-16.6783239592367,FALSE
5,Gaia DR2 1949584684722051200,328.567476026525,36.3475007728412,0.559228637127523,-6.23688428459421,-9.15022323289,1.48932754145921,19.465508,-60.2602227145082,FALSE
6,Gaia DR2 1949571829878253184,328.548296749287,36.2269554734601,1.64382634113561,5.48096308678,-0.743835860900754,1.64802820881256,3.8539758,-11.6546551933974,FALSE
7,Gaia DR2 1949538745751215232,329.401792010999,36.3214040189707,10.4782151212856,42.5130413050711,-43.7982785348704,1.60115227598703,0.74547863,3.40268617745393,FALSE
8,Gaia DR2 1949619177597715200,328.843546201167,36.6564911933351,0.375092315568178,-8.43267996119054,-11.7173237136093,1.44400402978545,97.09238,-34.6129551463573,FALSE
9,Gaia DR2 1949598905352077440,328.618839131927,36.6732080956289,2.01915730148148,-14.4840512457827,-7.00683090844298,1.56421407755907,1.1989367,11.6741976721338,FALSE
10,Gaia DR2 1949594477247678336,328.684299667474,36.5706355647607,0.270280189975241,-1.82886703982211,-0.691686118147331,1.49130159890019,51.843975,-34.535412751318,FALSE
11,Gaia DR2 1949581145669219072,328.81434231871,36.4776339227158,0.200916389318803,3.1837225516515,-3.85387723928027,1.47729471818075,89.09792,-79.9333307826266,FALSE
12,Gaia DR2 1949615883365328256,329.068254726372,36.7981430225057,2.78785201886173,27.8926039718339,8.28978548989144,1.59203880820166,1.5861231,-58.0849525183172,FALSE
13,Gaia DR2 1949595297579550720,328.844844976751,36.6019200228052,0.353291857882285,-5.36619924483938,-2.61298355933096,1.43532739598645,154.9681,-67.9985416008604,FALSE
14,Gaia DR2 1949605815961909248,329.001756341378,36.5633905944926,1.58063146658742,-10.1233141198723,-11.4748951288955,1.51578019798666,8.241855,-69.8864808104126,FALSE
15,Gaia DR2 1949538127275931776,329.458711417554,36.3178392562425,2.48797201874165,7.11363283010504,5.52175849730036,1.60481829628514,2.4670243,29.0172424875126,FALSE
16,Gaia DR2 1949589456424010240,328.394746225928,36.4254608660848,6.37457453404047,95.454884583152,50.4277296883907,1.59691477721325,2.1349907,-13.0791592369189,FALSE
17,Gaia DR2 1949581248748432512,328.77092790643,36.4710743724714,0.546420554236184,-0.239518829028886,-4.67318943909919,1.48106921700687,22.253674,-34.8455916349225,FALSE
18,Gaia DR2 1949525276732977280,329.210129425345,36.2648888423014,0.276262621588263,-3.60498581145404,-5.20827172436378,1.45607647461093,119.54068,-58.5801931239488,FALSE
19,Gaia DR2 1949605919041121280,328.950848702253,36.5591404791698,2.11554075693466,3.38154786554481,-22.3235903632257,1.58909893564964,1.2897613,-69.0336074485203,FALSE
20,Gaia DR2 1949605987760595840,328.934280608446,36.564633555804,4.12372233344985,46.7216322116539,28.3201614175742,1.57289851268145,0.45944154,-77.8033592078281,FALSE
21,Gaia DR2 1949572040338340224,328.559871932547,36.2609611668733,0.271681190232622,-2.55575565812365,-2.47514089941005,1.501132886394,64.27718,-43.3958052274492,FALSE
22,Gaia DR2 1949537096483779712,329.358165471003,36.2819992118657,0.749369366914998,10.291540809301,6.96529305978249,1.48995760387648,10.878665,-40.3559764565186,FALSE
23,Gaia DR2 1949521806399143552,328.856821695115,36.1831619045875,1.55989515578253,-1.73103446764938,-10.5463072861518,1.57839261726143,1.4319651,-67.8573820919133,FALSE
24,Gaia DR2 1949617189035486720,329.292041635084,36.8525613936115,3.65936370433964,24.4668247532334,20.4484489760107,1.60944540072726,1.4081422,-46.9623085311831,FALSE
25,Gaia DR2 1949600692058470400,328.714006478876,36.7167791836638,0.499833905909291,-3.36909342803852,-5.82715967480325,1.48275406897445,43.42057,-39.6950542186667,FALSE
26,Gaia DR2 1949641412644033792,329.734679526194,36.5916687140781,0.835954893295596,-1.64015366874542,0.224578055401982,1.48772654966899,55.38705,-29.5605221922178,FALSE
27,Gaia DR2 1949632818413833728,329.031677042888,36.9957593517657,1.83653965848362,-5.19872182134334,-4.91431135756968,1.65206475542736,4.4537935,9.58909644590012,FALSE
