id,source,ra,dec,parallax,pmra,pmdec,astrometric_pseudo_colour,lum_val,radial_velocity,duplicated_source
0,Gaia DR2 2341169428756740480,358.566777476221,-21.9393829727521,0.499092323621936,3.29403660322537,-7.57746548134382,1.52307958034341,32.79755,13.0561292972491,FALSE
1,Gaia DR2 2340983057240482816,358.778890179396,-21.8985464607635,1.5329879057021,28.2837401403712,-3.47241187966515,1.64292259276474,4.6989927,-13.1955003207998,FALSE
2,Gaia DR2 2340994091012475008,359.325152079476,-21.892438005082,3.98752031102955,75.1331644211883,-43.6269158537949,1.62580880148362,1.6585009,-25.9563986617062,FALSE
3,Gaia DR2 2341133106217849856,357.923464404976,-21.9768067783491,1.43687009769661,10.8879650114828,-10.5990539925821,1.64247961766427,4.6783047,-24.5386077739669,FALSE
4,Gaia DR2 2341153241024528768,357.798131020317,-21.716418945831,2.99618045068038,9.99010739895937,-10.470991202252,1.59291663016234,1.204821,-13.2034228228137,FALSE
5,Gaia DR2 2341034738582059904,357.940000774278,-22.4321802755838,1.97474985455694,-4.91956958574436,19.8086914705431,1.63760946862884,2.2790458,-29.0053596679133,FALSE
6,Gaia DR2 2341159906813770496,357.942313859631,-21.6422405249015,2.33061741533983,5.48993617984722,-14.5447835650461,1.63886705471984,9.656785,0.366611090892487,FALSE
7,Gaia DR2 2341108440220836480,357.7407758671,-22.0587760849692,5.65860469763731,41.1507028258037,-16.693059227739,1.49516985801684,0.21802646,1.28450333192545,FALSE
8,Gaia DR2 2340962754930979712,358.829774652835,-22.1731668489561,2.11109411283942,12.0247689824293,-7.2060765279656,1.64322390298628,3.526881,10.2820231207629,FALSE
9,Gaia DR2 2340962926729671424,358.816639141116,-22.1759265506946,1.45880258779537,4.24965971829568,-27.7877930249182,1.54264421993993,3.7438092,-54.6038672075136,FALSE
10,Gaia DR2 2341102186748437504,357.466965267363,-22.2459504268468,0.896955355127643,21.8248991969058,-14.8685280403285,1.55606161030971,11.248954,-75.7692832425052,FALSE
11,Gaia DR2 2340942585764683648,359.605689277418,-22.0132223383926,2.45937844257017,-2.3560935247353,-21.1806020143963,1.60023213041976,3.0682552,0.687405435927513,FALSE
12,Gaia DR2 2340962686211503488,358.843544078304,-22.1852714900569,2.16779164665431,5.04263666488183,-6.76225755990871,1.63680615729695,2.2197707,19.1956231966214,FALSE
13,Gaia DR2 2341106584794966528,357.721436087283,-22.1615358497344,1.79962318488097,15.4869868293823,-7.30370338529531,1.62863948836574,5.554948,24.4043898074699,FALSE
14,Gaia DR2 2341107233334861440,357.782597100408,-22.1133127054569,1.25597094465567,-12.2521953337927,-17.9990444574194,1.55499533583706,22.410772,-15.0342932467465,FALSE
15,Gaia DR2 2341007521373750912,359.370083027577,-21.6481675718578,4.73291450061234,-14.4397820390926,-48.0946667340182,1.52807024353697,19.618864,-3.77771361227394,FALSE
16,Gaia DR2 2341125207773154944,357.57980736773,-21.9149740499607,4.56953513824688,95.425703839619,1.02449716615952,1.56017524363176,1.2101884,11.6512294175761,FALSE
17,Gaia DR2 2341088992608993536,358.257763431073,-21.9984465232429,1.78760973596196,10.6874063788233,-21.9633101128195,1.52197112916756,4.672255,20.1960538330681,FALSE
18,Gaia DR2 2341076691822664448,358.349451676159,-22.019815524263,1.39209744275898,-0.576878131218789,-11.6787213500229,1.52599465597347,16.222702,-10.6412964029356,FALSE
19,Gaia DR2 2341125894967921920,357.536903264765,-21.9174744506124,3.51596522460176,7.13347814418634,-14.7127793089529,1.60525132047261,2.2554543,-23.002886943143,FALSE
20,Gaia DR2 2341035460136552576,357.824553597299,-22.4253027297105,4.50511666490253,18.4164699939775,28.8501368076406,1.63104188600915,1.0341338,-36.6843625786257,FALSE
21,Gaia DR2 2341060194853036032,357.782229502798,-22.1367329308416,3.97923658959651,53.4586831688877,-37.4069973401757,1.53968260066851,0.5399299,9.08965756901957,FALSE
22,Gaia DR2 2341026904562603392,359.281728569461,-21.4376643006414,2.10983189141431,31.9374626150344,-23.8236400802568,1.59267171836171,1.6207665,-37.2472945068985,FALSE
23,Gaia DR2 2340919358581488768,359.191511714109,-22.1532315658707,2.26509782505837,-5.29473445629585,-6.964011562253,1.60179098311463,1.9357677,-1.6618790867794,FALSE
24,Gaia DR2 2341013882221767040,359.230467070597,-21.6507902228289,3.9974445330545,66.9580385977516,-12.3663313560162,1.53967972016665,0.31619504,-3.41188601777939,FALSE
25,Gaia DR2 2341031886723765376,357.796402961216,-22.5600719679817,1.88627315930957,5.78225962587806,-8.3908594566669,1.66293404861958,5.6353517,9.18314384556178,FALSE
26,Gaia DR2 2341089778587767168,358.273150947832,-21.953980899332,3.38475308023311,35.174525333608,-18.861062538587,1.56607509454083,0.7405988,-12.5971008373506,FALSE
27,Gaia DR2 2340915334196164864,359.381606484181,-22.2405904854894,4.56385992753222,20.2604810135379,5.58170205541579,1.58122768230158,0.5263938,-3.38476346349486,FALSE
28,Gaia DR2 2340974501665628800,359.133302338088,-21.8822461237415,0.792593100247168,-1.36055738870683,-10.0631503322324,1.5341944375774,14.142885,5.09354411420987,FALSE
29,Gaia DR2 2341148160078461312,357.957167389897,-21.6463385233767,3.64282023584627,3.72029838526933,-10.6709125940403,1.62991534133756,0.8178914,-20.6246723745532,FALSE
30,Gaia DR2 2340983611292181120,358.959511638608,-21.9771719304224,6.00053056782034,100.28363648381,19.7656403226306,1.54312972797894,0.33918503,27.912337989114,FALSE
31,Gaia DR2 2340943582197080576,359.54506741973,-21.9802913068871,0.831179772771559,-6.76111894829061,-4.0106454861122,1.4824065617667,121.400986,-2.00915863376407,FALSE
32,Gaia DR2 2341006529237761280,359.354295853184,-21.7192157281902,6.59793539959243,47.6284957625194,-20.1985904001455,1.49832989472402,0.16961177,-17.60669512297,FALSE
33,Gaia DR2 2340953958838082176,359.528549682232,-21.8533146663349,5.23817269158453,-35.7792199584071,-45.3870273724727,1.48826033956331,0.21356095,-9.24542646961713,FALSE
34,Gaia DR2 2341017249476115328,359.147210321283,-21.6208852904072,2.45215303051092,-2.04841397276497,-8.63913702595633,1.53312724197179,30.223787,0.217536656791946,FALSE
35,Gaia DR2 2341012679630927360,359.267144194814,-21.7121848453222,2.37484620604416,-7.84378210959949,-7.42739422746953,1.6207948015279,1.0542606,-7.15000152908198,FALSE
36,Gaia DR2 2341117197658657280,357.378664744375,-22.0584135202704,4.59917182036641,75.8127010076542,-12.0887139648696,1.56156999771844,0.3837895,27.6143009538193,FALSE
37,Gaia DR2 2341128712466467072,357.489574005818,-21.9037655694694,16.0764712997676,152.330552683691,22.6823819344963,1.53284953595071,0.35715654,-4.34444386646978,FALSE
38,Gaia DR2 2340971963340875520,359.030003872128,-21.992027200185,2.00262498538632,13.9421463604884,9.43290868078093,1.38063640787612,853.3177,-5.43576695017456,FALSE
