id,source,ra,dec,parallax,pmra,pmdec,astrometric_pseudo_colour,lum_val,radial_velocity,duplicated_source
0,Gaia DR2 3291280305608370176,75.3152066894876,9.98223756291403,2.75154979734348,7.73418302212917,-4.71624085604539,1.58308564257461,1.5068008,34.4420628251333,FALSE
1,Gaia DR2 3291106071672179200,74.2787629000122,9.15940758881013,3.08225993578236,7.80700445181976,-10.2091252596972,1.58322123156327,0.98456997,-2.89190031770641,FALSE
2,Gaia DR2 3291199667598782080,75.4853668981372,9.51765758271377,3.12881935792441,-18.9246097046084,-15.2507117774559,1.59210292483766,0.67818713,-42.0915465098601,FALSE
3,Gaia DR2 3291131016842202624,74.4704400831193,9.25900981142922,3.12837033816372,-0.748534900526246,-20.6973663443928,1.57420842263064,0.66340166,-41.1337242898616,FALSE
4,Gaia DR2 3291271818752996736,75.1426604210475,9.86177054024203,3.05136862984817,19.0610835111617,-8.87668266813527,1.5950189350955,0.96882355,27.8169849846092,FALSE
5,Gaia DR2 3291278523198177664,75.227761011615,9.94563814590167,2.13964168496909,-4.53112112763009,-2.41972216097673,1.60367759850222,1.8614908,22.7184999881213,FALSE
6,Gaia DR2 3291186542178726400,75.5608125559357,9.44753645441938,1.8051441929607,8.57089899185685,-17.6283960534727,1.52132685185109,21.376272,-5.25976160563755,FALSE
7,Gaia DR2 3291206161589190912,75.4394360484002,9.64738920310896,1.86352936062483,6.67290350338818,6.56756009846039,1.60679806380701,4.593404,25.6260277124659,FALSE
8,Gaia DR2 3291109267127852800,74.1681571610383,9.19961231458372,2.00451227952899,-0.463108248745611,-0.504130639984448,1.64476848457643,3.274889,4.82635734303902,FALSE
9,Gaia DR2 3291155476678872960,75.4136264217732,9.20836989568025,1.89888371078673,2.25882577295581,-15.2368711729374,1.58405970181443,1.5993719,-8.15152362066363,FALSE
10,Gaia DR2 3291245293034983424,75.0126272073915,9.70740796404295,0.31562078319467,1.31001168385602,-3.85033002481981,1.48847238982482,40.87947,11.0528329851241,FALSE
11,Gaia DR2 3291229728073514624,74.9685186756895,9.52326131304456,0.847058807048131,-3.70981839016941,-2.10901382884721,1.51333870370279,20.83456,-42.4007723674478,FALSE
12,Gaia DR2 3291063873616146688,74.6157170641792,8.99155977532948,1.32077422644701,-1.24962159636351,8.48666006061162,1.51270545214482,48.34104,49.9521995410216,FALSE
13,Gaia DR2 3291269757168697344,75.0755623910089,9.79998415890607,4.15423241806934,10.2559314143598,-17.4528524488367,1.6427633245619,5.981167,1.65834607682859,FALSE
14,Gaia DR2 3291256700468120448,75.2000246323552,9.73099741631904,0.319226414386375,2.70986476396513,-1.6260194951238,1.50722211843841,60.881638,-7.08558121242102,FALSE
15,Gaia DR2 3291255639612439936,75.3134079911358,9.75729853228611,0.276761055612209,-0.279800502256353,-2.76378204125022,1.49315084469589,58.813774,14.2582323834888,FALSE
16,Gaia DR2 3291060476299501696,74.7825910073929,8.92895184713123,1.52423632310485,3.1444907309,-8.66076626909448,1.42696733116978,168.2991,-60.6243988086155,FALSE
17,Gaia DR2 3291259247384966016,75.2559969265643,9.82827472460796,2.47719591580306,-9.96059074343341,-10.5540627553515,1.62027608746658,3.769116,-42.5794513997492,FALSE
18,Gaia DR2 3291254677539761152,75.3707164108206,9.74719526157025,2.01963761344865,-4.75173627762317,-9.92522880157852,1.61962252689602,6.980703,-5.2875210847767,FALSE
19,Gaia DR2 3291232236334408832,75.0437349263789,9.62930558412171,1.26691717584484,-2.75815850327347,-9.40006675453039,1.49317941182978,49.677795,-4.73512087238866,FALSE
20,Gaia DR2 3291153415094571264,75.2787581995265,9.20527184818932,0.640701335850505,0.406688264592422,-2.24589116316337,1.50898718951654,56.051334,10.1481126819011,FALSE
21,Gaia DR2 3291168911336571008,75.0261908226414,9.28609416471863,0.348617771293848,1.62709042562407,-1.4967289440259,1.46194875412369,47.46451,8.49363557929165,FALSE
22,Gaia DR2 3291215434421902080,75.544354576717,9.78578446960449,1.93990237611399,-0.302825206010294,-6.04639382474308,1.67986316961238,4.7953086,-5.30724087627951,FALSE
23,Gaia DR2 3291166609234101120,75.1827747573703,9.27947333624781,1.90289593879927,3.92624984075577,-8.50006161105854,1.50234299428118,30.898298,23.4805172353863,FALSE
24,Gaia DR2 3291062640963275264,74.6318562712695,8.93703017718882,5.83033389213196,21.5227549803691,-8.1189014188116,1.44319610119014,0.14207345,43.1329959112025,FALSE
25,Gaia DR2 3291304842758668544,73.6188596979264,9.17943175351312,0.312309259000459,1.89875743693555,1.2778645677484,1.40160926482856,262.41745,3.24794134090973,FALSE
26,Gaia DR2 3291228628561884032,75.1054231429817,9.5636791015072,1.36872290515195,8.03378998624098,-4.58348224165172,1.62059216711696,3.765735,26.872240379204,FALSE
27,Gaia DR2 3291153655612739072,75.2390951869773,9.21569239084041,11.4857000178694,154.706683229645,41.9243878103866,1.62265138791815,1.721405,8.5503765396253,FALSE
28,Gaia DR2 3291071677574188544,74.7780064399172,9.08955194158117,1.07157581671617,3.84317714048603,-5.99415889974751,1.60365113918659,3.0260522,5.95235487662922,FALSE
29,Gaia DR2 3291258594549948288,75.2093533578339,9.77539790681405,0.532109622815514,4.325300441662,2.74088603618227,1.47083585871133,106.31388,82.8612491149144,FALSE
30,Gaia DR2 3291072502207910144,74.7490759695576,9.11044922865667,1.95247623667796,-0.0471293102303365,5.11312591780713,1.64154863627633,1.7601324,48.9616129428803,FALSE
31,Gaia DR2 3291272643386716800,75.1130743351267,9.87670517804147,1.28039063802927,-4.13955978490855,3.76934538879021,1.62164315998967,4.9580684,50.0299708542855,FALSE
32,Gaia DR2 3291203511593138048,75.3606695494101,9.55227195783598,1.46375263425244,6.53804117591338,-11.0369387717106,1.60469887636509,3.913973,42.320817253518,FALSE
33,Gaia DR2 3291218629878028288,74.8968219233361,9.42463454376993,0.255963300594703,-1.66636215399744,-2.85418921057853,1.51374677752371,57.639393,-15.5938903785813,FALSE
34,Gaia DR2 3291143455067472256,74.4548763464829,9.45802137256616,0.278263237110713,2.05584856228689,2.37440839294593,1.50693355808901,63.573303,58.7483715032055,FALSE
35,Gaia DR2 3291131669677229824,74.4441701659156,9.292227827614,4.36624850327687,-8.85110451492683,-26.4532427372352,1.5691948180809,1.2643609,56.8986066847779,FALSE
36,Gaia DR2 3291120090445821056,74.7048834459983,9.17793921790106,6.87442843007289,62.2168493048956,-32.2260024593803,1.42744498824324,0.090260096,84.711678674861,FALSE
37,Gaia DR2 3291234061696774272,75.0472581282732,9.73158674613889,0.297231793871024,1.73585771144457,-2.56448989278167,1.5071480627345,46.069702,16.1394529057236,FALSE
38,Gaia DR2 3291250240838084608,74.957938419869,9.8278458656953,0.40261358402964,3.48001347718054,-2.37123880953969,1.52171210141779,32.410328,38.7506562602412,FALSE
39,Gaia DR2 3291250996752328960,74.8181668820721,9.82508756185531,2.49247297387097,10.4462896734146,-27.0678060431031,1.59232619640981,1.110971,49.5883787800121,FALSE
40,Gaia DR2 3291248866448551424,74.7686534140074,9.76556913503724,0.528313322645259,-0.800785861382885,-4.84400483190302,1.48249100421863,29.632593,17.6633182796244,FALSE
