id,source,ra,dec,parallax,pmra,pmdec,astrometric_pseudo_colour,lum_val,radial_velocity,duplicated_source
0,Gaia DR2 2015940207169662336,356.33378208233,62.4424001281685,0.948009072899923,-0.443482340729385,-1.54546451620719,1.553133191964,4.222767,-51.2950261061174,FALSE
1,Gaia DR2 2015953955356952192,356.154150140445,62.5315658901785,0.818650285081692,4.41719457355402,1.87897149114579,1.39000435633062,18.623224,-12.8590035835949,FALSE
2,Gaia DR2 2015971203947081216,357.349761430106,62.6861096167722,6.94993108725501,-50.0687680653835,-33.8184605424991,1.51538961476892,0.16511284,-10.8341751317244,FALSE
3,Gaia DR2 2015940417620189056,356.168881603292,62.403141669342,3.04855317746876,-10.5247544540638,-11.1152908350801,1.56638382936711,0.49636602,-25.3936260364439,FALSE
4,Gaia DR2 2015951240937684352,356.066596058823,62.4556650547361,0.951404995116496,0.763855331688629,-2.30102804713066,1.38479398918635,9.7024555,-89.9535465209342,FALSE
5,Gaia DR2 2015959624715000320,356.582885762153,62.3974489954275,2.46051025982131,1.08288512913299,-8.92525188378537,1.60128487966227,1.038527,-50.5696861119971,FALSE
6,Gaia DR2 2015973707903005440,357.076326472253,62.7212203658984,2.57923321980138,-32.9079274397492,-3.93893957088189,1.58890631481603,1.651803,-14.2489132755733,FALSE
7,Gaia DR2 2015975872565091584,357.34612205763,62.7967269858706,0.621892867799341,-2.89441217026752,-0.293094393927265,1.37493926985991,41.554783,-20.4306933039504,FALSE
8,Gaia DR2 2015943819234294912,355.635358742671,62.2808936475799,1.23337444297403,-4.28281696364336,3.57288757938681,1.54927123253935,3.8210275,-23.4294481922624,FALSE
9,Gaia DR2 2015941104815281536,356.245626265611,62.4513689420653,1.57123925128797,1.9237592489315,-7.45758191976312,1.59240788986271,2.2630758,-2.28433724483735,FALSE
10,Gaia DR2 2015944334630352256,355.735956641919,62.31624238596,1.11399783451811,-9.61508194298406,1.09824718342575,1.52953381719311,3.8827193,-27.9340628961243,FALSE
11,Gaia DR2 2015947908042981632,355.441406171069,62.3939297128254,7.79491891834627,63.2703956591438,14.2819219727572,1.61309447085977,0.7276379,30.5730226369976,FALSE
12,Gaia DR2 2015959246757882368,356.403946755811,62.3490043781169,0.297922783155364,-2.13817344611011,-0.475010984595206,1.2670800638431,11969.437,-67.8972257723943,FALSE
13,Gaia DR2 2015941066152733568,356.348392441376,62.4653953080266,1.03859074699505,-1.08678484385465,-4.49177946406652,1.43962899217788,30.903408,-32.1645696461558,FALSE
14,Gaia DR2 2015934507745539328,355.967373134542,62.2617001304668,1.4192976671549,-3.95147673306495,0.108275440425318,1.53819084679472,4.1082854,-54.6323708043051,FALSE
15,Gaia DR2 2015961304037462144,356.773311681991,62.4481053877001,1.99561875300037,25.8246913789787,8.08087188670748,1.55950343857313,2.9415395,44.9182784563304,FALSE
16,Gaia DR2 2015959281117618432,356.463856017823,62.3686989723381,2.44434248965992,22.1927928051171,12.2330540490785,1.58186696198804,0.98936456,-20.7258140938691,FALSE
17,Gaia DR2 2015962059951705600,356.832011109965,62.504541779625,0.358389560701935,-1.95807514926138,0.377980948403807,1.30279445633264,228.65376,-75.1652111285539,FALSE
18,Gaia DR2 2015933580032418688,356.090302504094,62.2546843313999,0.39103505948315,-2.28113495341794,0.0260841954323852,1.3816580944423,29.594574,-58.0144225214083,FALSE
19,Gaia DR2 2015940520699383424,356.225674569073,62.4298588149358,1.44389728125049,9.15040831662077,1.07514480488998,1.59453602784944,3.1605256,-21.7200922428865,FALSE
