id,source,ra,dec,parallax,pmra,pmdec,astrometric_pseudo_colour,lum_val,radial_velocity,duplicated_source
0,Gaia DR2 1476015612065288832,203.463339352962,39.6028212831173,1.79336439177936,-0.0906230861084456,-20.452500839361,1.57608937875471,4.5281825,-15.1667333551161,FALSE
1,Gaia DR2 1476278704582157440,201.744624443953,38.7251923544333,2.23213704224981,22.6945436455812,-14.2844229887402,1.59406419930224,1.4565766,-29.0438572899932,FALSE
2,Gaia DR2 1476286847840096512,201.306386598012,38.6582482753158,3.29557617273833,67.7554366254966,-37.7309757200618,1.62570883385182,1.6901599,-18.9620318818858,FALSE
3,Gaia DR2 1476428783623416064,199.806783387128,38.6315738223726,0.653046228456718,2.64680001057474,-7.8595353531401,1.53878002590613,50.87923,-41.6839021212685,FALSE
4,Gaia DR2 1476039904400321536,203.814219511482,39.8300344214366,4.32849569756734,-44.907158045519,15.8585692781254,1.63635769593598,2.7149203,-20.4969049796367,FALSE
5,Gaia DR2 1476128449444810624,200.790638129332,37.691217738988,3.18383278902129,-1.1514963427388,-31.4840583679678,1.58837762648485,2.0294473,-40.044288746295,FALSE
6,Gaia DR2 1476304989782014720,201.864871957166,38.8989794000138,2.74045222193963,-5.6054133371734,-2.77477610124022,1.64421279682291,4.8352823,1.78290310267572,FALSE
7,Gaia DR2 1476371819472178304,200.722455486435,38.3675235302721,2.76353450924316,-6.4527835570038,15.3972461808069,1.66070645904154,3.8909895,-41.4368688104445,FALSE
8,Gaia DR2 1476417066952198400,200.216024573424,38.6088245589392,3.33818754491808,22.4712510173658,-16.7585263971542,1.58287123465878,0.7273585,-3.68000261325998,FALSE
9,Gaia DR2 1476057904606873472,201.207479084354,37.3671695260171,1.54423582379159,10.3331312556481,-19.3109577006309,1.53794605733126,33.44025,14.3808918880606,FALSE
10,Gaia DR2 1476110475006955136,201.441480855949,37.9253765995629,18.2680796176178,-9.1547009667836,127.603310728798,1.48865813966177,0.13012491,22.5166977916103,FALSE
11,Gaia DR2 1476275509126483456,201.651703588966,38.5762188610546,2.0311576051689,-10.8276407682291,-4.17107916649093,1.63158735916317,2.3208435,-34.505377102806,FALSE
12,Gaia DR2 1476094806966261376,201.366997758106,37.7196731447284,29.5965695552594,-197.940392575215,57.3490083486227,1.43986277367118,0.08613973,-5.17918048547056,FALSE
13,Gaia DR2 1476291074087917952,201.329442993837,38.7992856757155,2.4343868250388,-0.378256189899538,-3.67826381154943,1.65083384955865,3.6334789,-11.2155333387292,FALSE
14,Gaia DR2 1476342373177952640,200.297031717619,38.134905727165,2.18918127876027,-3.51143609307397,-10.839307812197,1.59201605366448,5.0851912,-39.0565867040159,FALSE
15,Gaia DR2 1476188785146973568,201.100194790103,38.454123518661,4.50272128677123,32.4643523410701,-33.3805562470109,1.58060682286816,0.5367006,8.84552452486326,FALSE
16,Gaia DR2 1476396214887964160,200.623188200686,38.760258071116,6.8791989606887,-18.8243183413145,-38.5288335584137,1.65982655055198,3.1766856,-5.72982363805172,FALSE
