id,source,ra,dec,parallax,pmra,pmdec,astrometric_pseudo_colour,lum_val,radial_velocity,duplicated_source
0,Gaia DR2 3508417776031977088,194.01908634164,-21.1319180948043,4.00920971375297,-35.3474677137116,-46.2594121729944,1.61811448096803,2.787616,1.25658656865912,FALSE
1,Gaia DR2 3508436055412791808,194.067577816445,-21.0468111600212,3.68884673942589,-8.82303293909773,5.54818597294373,1.87379678812441,0.719646,-7.77305201092386,FALSE
2,Gaia DR2 3508491889987807488,195.407559126215,-20.7449190050752,1.15355350568629,-18.5535814537138,-6.42917814321757,1.50192039295635,20.015347,100.212949436949,FALSE
3,Gaia DR2 3508259961753580160,199.135422915062,-17.4485507726833,1.37565841591627,-22.282638499803,-4.87945392536192,1.60267769763498,4.8749914,-33.7475495593328,FALSE
4,Gaia DR2 3508278236838626560,199.860655270237,-17.3553847980243,1.84848383403462,11.4771186130563,-5.69867600236184,1.61192319048365,1.7554832,3.58569663543729,FALSE
5,Gaia DR2 3508478077372893056,194.778864541041,-20.8501426326694,1.38789625127066,-3.29330263877651,9.9884674707898,1.58689509512685,5.0282993,-25.0246408748477,FALSE
6,Gaia DR2 3508566210101844736,194.942800437687,-20.3799858898284,0.855543249345467,-19.9204413908421,6.20143665303574,1.51316980074538,39.12972,24.2481318761,FALSE
7,Gaia DR2 3508603524777633152,193.155869424324,-21.1827606581096,3.27514657157897,-27.4065567867916,-23.1586274665493,1.54033975525238,0.5516758,-14.8613075152761,FALSE
8,Gaia DR2 3508600741638842368,193.433453003499,-21.0234144946078,0.669636034790059,-7.74677169170168,3.23494064140768,1.45268274832461,152.43634,-3.10153748942512,FALSE
9,Gaia DR2 3508397709944742144,193.423074614852,-21.3968000713479,3.03122127989296,-36.2503394213223,10.9687935809091,1.57664426810349,2.575536,3.04755500974439,FALSE
10,Gaia DR2 3508315865048023552,194.384207313636,-21.6964062388185,0.416890037010985,-5.69320098932771,-1.05796756728896,1.42611799543222,222.46918,-1.57280622595066,FALSE
11,Gaia DR2 3508556795533517056,194.648450033474,-20.536586486809,4.32994115076633,-31.9490160210441,4.80455703291056,1.60920389646365,5.5600142,-4.68710011664099,FALSE
12,Gaia DR2 3508592495301619456,193.350294001724,-21.1828992236279,2.29087289639426,0.985486887332244,2.42786681395907,1.62150870091759,4.835857,-23.4643733123794,FALSE
13,Gaia DR2 3508380014679469440,193.589339458583,-21.5602063411301,2.01516852277124,-16.2755534997742,-19.6989932649211,1.55983817361954,2.3760197,1.18562680449521,FALSE
14,Gaia DR2 3508412102379769472,194.177950932496,-21.2532840934116,1.98107120885646,-25.6209356462853,5.98987768409246,1.59310553861811,3.6910095,2.53562594869534,FALSE
