id,source,ra,dec,parallax,pmra,pmdec,astrometric_pseudo_colour,lum_val,radial_velocity,duplicated_source
0,Gaia DR2 1159513489132808448,221.701711875131,6.2932365095616,6.27987389779125,14.3675912476954,-7.67154682545128,1.5457212138373,1.2327089,-18.0589353356387,FALSE
1,Gaia DR2 1159479472991246720,221.20618367771,5.95965144721443,0.993754082687852,-15.5995504840868,1.65234785008045,1.55014691730132,10.343486,-25.1463334976494,FALSE
2,Gaia DR2 1159418656254345216,221.191469499738,5.67047811795243,3.73780308682153,-3.07884127031485,-49.0804671633119,1.56270959797809,0.39398032,-13.7484414699593,FALSE
3,Gaia DR2 1159493079447636608,221.140188666383,6.04974576347406,1.64980524675646,8.80042473003113,-2.10027784291761,1.58254440286231,3.2674003,-23.6360574166653,FALSE
4,Gaia DR2 1159343344003555968,222.433665721258,5.89502619860348,0.705400284622331,-10.630792352578,-8.96987067070756,1.53316498617046,71.43362,-2.38109395069038,FALSE
5,Gaia DR2 1159336403336463872,222.767322108791,5.94736262158123,4.99220144913896,-28.6207225528458,-2.75749761644489,1.57107335871734,0.53450453,-18.2846235624211,FALSE
6,Gaia DR2 1159485451585723392,220.950340684606,5.95288394146304,1.74084692125834,-15.6893943040401,-13.4187129021823,1.48287237528522,2.6741216,-49.1060074506008,FALSE
7,Gaia DR2 1159367258381532160,222.895033377144,6.17519575323856,4.52526256968051,-48.4287367342317,37.6087629067444,1.53215081419229,0.27944624,-26.6954629656194,FALSE
8,Gaia DR2 1159367769482705280,222.903750092422,6.21513690871034,2.70485590383628,4.17191640491567,5.53953445582948,1.59467315307677,0.9311647,-19.6743489171986,FALSE
9,Gaia DR2 1159325373860387968,222.532399089228,5.7152036229816,4.98917044003808,-5.9149841915086,-56.3440688970798,1.56886217630784,0.42318276,54.524628303793,FALSE
10,Gaia DR2 1159332383247077632,222.619347288391,5.89795766313801,0.593051477426263,-6.66965469105967,-7.07015361910046,1.54019990258966,52.762146,-59.5276129049921,FALSE
11,Gaia DR2 1159262083222331648,222.962970898805,5.61337423971777,3.03418817995442,-30.0174148993421,-18.9392451606318,1.64247286287547,3.6651738,2.48436767288777,FALSE
12,Gaia DR2 1159260914991228544,222.836093723874,5.55846627203588,0.664324116706483,-6.48784006245782,-6.54539493340797,1.50771833022495,34.751972,-51.6652518617337,FALSE
13,Gaia DR2 1159212708278287104,221.803128936372,5.4961006572277,12.5189848843663,-99.5355918393461,-9.43968961234854,1.44967114983129,0.115258455,-11.6134827512448,FALSE
14,Gaia DR2 1159244800273998848,221.966915815714,5.72922024919727,0.913704420325798,-14.2259350665244,-5.93526044688899,1.43942761223836,184.41917,-26.8573934661237,FALSE
15,Gaia DR2 1159216277395349120,221.684850429183,5.51201518351835,3.52730925369101,-17.3561484946888,-49.2763310815003,1.5816201262156,0.59384793,4.140413572946,FALSE
16,Gaia DR2 1159418145153959168,221.298124954341,5.67912895327667,0.365292505000556,-7.54134978737108,-3.8073101016596,1.47907981437212,206.37164,44.5470359895409,FALSE
17,Gaia DR2 1159337227970187264,222.748561491804,5.96549371470374,2.07185818207373,-7.61510982244571,-55.2554649587736,1.61637610029634,1.4254801,-35.2469951724737,FALSE
