id,source,ra,dec,parallax,pmra,pmdec,astrometric_pseudo_colour,lum_val,radial_velocity,duplicated_source
0,Gaia DR2 3445985890901442176,83.686458352662,29.8122368114921,1.22774592131402,0.350178168081865,-3.28330228665495,1.43305700881077,173.33664,8.9736642982126,FALSE
1,Gaia DR2 3445987127849611264,83.7319775339031,29.8057612840182,9.81923809994328,9.23461839213319,-116.49172658971,1.40393581708756,0.099190034,33.9828659022498,FALSE
2,Gaia DR2 3446036880753228544,83.489650986478,29.8730615824506,3.0716843508696,2.93621223492878,-8.64437996629506,1.53810088089244,0.65925467,14.1405893651331,FALSE
3,Gaia DR2 3445997298334487424,83.9325640090236,29.7824421325056,0.544139739805838,4.09698037168269,-4.14359875730404,1.38659909761105,15.939696,10.9461943358921,FALSE
4,Gaia DR2 3446026916428636544,83.9981190773434,30.2702019035098,3.54820799494804,4.36317963500364,-3.49174002333909,1.58435023683792,2.1233706,-24.5701772788592,FALSE
5,Gaia DR2 3445969707464918144,83.8995930578003,29.6539994451819,2.05831317209867,3.23191609298243,-3.40390478808542,1.51100316899325,2.2182078,8.32751845359935,FALSE
6,Gaia DR2 3446010286315591296,83.8467665520157,29.8510109988456,0.770180181068235,0.813935920896985,-9.68312508369416,1.41608189452015,28.401031,-2.86402621405386,FALSE
7,Gaia DR2 3445993793641489920,83.981995176002,29.7389673412704,2.33004235576194,4.77327726486912,-14.5700687852645,1.51595286570752,1.455634,22.4541292735632,FALSE
8,Gaia DR2 3445977399758001280,83.5995309528817,29.6147139952772,0.942769067200554,-0.350961672606943,0.145678573758947,1.34879809802302,100.6121,11.7743379884633,FALSE
9,Gaia DR2 3446029523471112192,83.3217204239892,29.7675924435963,2.06661716987555,-4.36310390818225,-1.02655717506198,1.53185892451627,1.0661713,1.03768053099505,FALSE
10,Gaia DR2 3446030932220383488,83.4536612131412,29.8409063839198,0.390889714259576,-0.190310635302145,-3.84683778899079,1.36519589854638,72.25754,74.2556745764721,FALSE
11,Gaia DR2 3445987402729910912,83.7111709645138,29.8321196879299,1.19035702568475,8.79033630470473,-5.55219299753283,1.64124370573868,5.280959,-21.0662206626539,FALSE
12,Gaia DR2 3446031585055411968,83.3716557326841,29.8618040040441,4.29388997722275,29.0129877388566,-36.7158342710073,1.52395817986645,0.7087586,92.0547132768999,FALSE
13,Gaia DR2 3446002413637545856,84.2336659039123,29.928765874505,0.804994526394981,2.08777620871914,-3.76634711820869,1.41225949098542,20.965637,22.6423942820166,FALSE
14,Gaia DR2 3445998569644797568,83.8791628399088,29.8417396101622,6.62426722068843,-10.4722142829499,-15.3402958113541,1.56311296331334,0.49713337,-22.2977646852503,FALSE
